Country,2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote
Bahrain,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Bangladesh,32.01 ,28.11 , 36.25,,32.06 ,28.30 , 36.32,,30.65 ,27.13 , 34.44,,28.15 ,24.96 , 31.70,,25.48 ,22.66 , 28.58,,22.72 ,20.08 , 25.66,,19.88 ,17.51 , 22.54,,17.81 ,15.61 , 20.09,,16.46 ,14.45 , 18.56,,15.17 ,13.41 , 17.06,,13.81 ,12.27 , 15.53,,13.41 ,11.89 , 15.04,,13.38 ,11.97 , 14.92,,13.16 ,11.77 , 14.49,,12.95 ,11.61 , 14.28,,12.58 ,11.29 , 13.91,,11.74 ,10.49 , 13.02,,10.54 ,9.45 , 11.65,,9.57 ,8.62 , 10.55,,9.06 ,8.18 , 9.99,,8.56 ,7.71 , 9.38,,8.06 ,7.24 , 8.94,,8.00 ,7.17 , 8.84,
Barbados,10.90 ,9.10 , 12.77,,10.01 ,8.57 , 11.76,,9.35 ,8.06 , 10.93,,8.43 ,7.37 , 9.78,,7.12 ,6.27 , 8.25,,6.43 ,5.66 , 7.41,,6.07 ,5.28 , 6.97,,5.71 ,4.89 , 6.48,,5.19 ,4.44 , 6.00,,4.85 ,4.11 , 5.59,,4.62 ,3.84 , 5.35,,4.37 ,3.55 , 5.04,,4.13 ,3.27 , 4.84,,3.94 ,3.15 , 4.65,,3.73 ,2.94 , 4.52,,3.66 ,2.83 , 4.50,,3.56 ,2.68 , 4.39,,3.37 ,2.54 , 4.24,,3.17 ,2.39 , 4.05,,2.99 ,2.20 , 3.86,,2.85 ,2.07 , 3.72,,2.76 ,1.93 , 3.63,,2.63 ,1.80 , 3.51,
Belarus,27.21 ,20.60 , 36.18,,26.64 ,20.75 , 34.49,,26.09 ,20.53 , 33.14,,25.48 ,20.32 , 32.20,,24.70 ,19.84 , 30.81,,23.51 ,19.02 , 28.95,,21.67 ,17.62 , 26.77,,19.78 ,15.96 , 24.63,,18.08 ,14.55 , 22.45,,16.51 ,13.19 , 20.39,,14.94 ,11.83 , 18.79,,13.62 ,10.67 , 17.46,,12.41 ,9.73 , 16.20,,11.34 ,8.85 , 15.13,,10.42 ,7.86 , 14.01,,9.43 ,7.01 , 12.99,,8.43 ,5.92 , 11.87,,7.36 ,4.99 , 10.58,,6.21 ,3.97 , 9.39,,5.23 ,3.11 , 8.26,,4.56 ,2.55 , 7.41,,4.15 ,2.20 , 6.87,,3.87 ,1.94 , 6.64,
Belgium,8.61 ,7.31 , 9.38,"Children estimates were not available at the time of publication.",8.24 ,6.94 , 9.03,"Children estimates were not available at the time of publication.",7.89 ,6.64 , 8.73,"Children estimates were not available at the time of publication.",7.60 ,6.35 , 8.43,"Children estimates were not available at the time of publication.",7.30 ,6.06 , 8.17,"Children estimates were not available at the time of publication.",7.05 ,5.84 , 7.94,"Children estimates were not available at the time of publication.",6.82 ,5.61 , 7.70,"Children estimates were not available at the time of publication.",6.60 ,5.44 , 7.51,"Children estimates were not available at the time of publication.",6.31 ,5.15 , 7.24,"Children estimates were not available at the time of publication.",5.94 ,4.83 , 6.87,"Children estimates were not available at the time of publication.",5.52 ,4.47 , 6.45,"Children estimates were not available at the time of publication.",5.07 ,4.02 , 6.01,"Children estimates were not available at the time of publication.",4.59 ,3.59 , 5.48,"Children estimates were not available at the time of publication.",4.13 ,3.16 , 5.04,"Children estimates were not available at the time of publication.",3.75 ,2.78 , 4.67,"Children estimates were not available at the time of publication.",3.42 ,2.44 , 4.37,"Children estimates were not available at the time of publication.",3.10 ,2.13 , 4.06,"Children estimates were not available at the time of publication.",2.82 ,1.88 , 3.85,"Children estimates were not available at the time of publication.",2.64 ,1.70 , 3.69,"Children estimates were not available at the time of publication.",2.52 ,1.58 , 3.64,"Children estimates were not available at the time of publication.",2.45 ,1.48 , 3.61,"Children estimates were not available at the time of publication.",2.44 ,1.44 , 3.74,"Children estimates were not available at the time of publication.",2.29 ,1.33 , 3.60,"Children estimates were not available at the time of publication."
Belize,16.58 ,14.88 , 18.61,,14.80 ,13.34 , 16.75,,13.28 ,12.00 , 14.78,,11.99 ,10.92 , 13.32,,11.05 ,10.06 , 12.19,,10.20 ,9.36 , 11.08,,9.22 ,8.43 , 9.96,,8.56 ,7.82 , 9.23,,7.94 ,7.27 , 8.58,,7.22 ,6.57 , 7.79,,6.72 ,6.13 , 7.30,,6.33 ,5.80 , 6.89,,5.98 ,5.47 , 6.55,,5.79 ,5.27 , 6.41,,5.47 ,4.95 , 6.10,,5.21 ,4.64 , 5.83,,5.04 ,4.47 , 5.68,,4.76 ,4.16 , 5.45,,4.53 ,3.91 , 5.26,,4.32 ,3.69 , 4.99,,4.13 ,3.44 , 4.76,,3.93 ,3.28 , 4.61,,3.75 ,3.04 , 4.45,
Benin,11.69 ,9.98 , 13.98,,11.04 ,9.44 , 13.37,,10.63 ,8.84 , 13.01,,10.19 ,8.41 , 12.27,,9.77 ,7.91 , 12.06,,9.61 ,7.82 , 11.79,,9.35 ,7.61 , 11.44,,9.18 ,7.34 , 11.24,,8.26 ,6.37 , 10.33,,7.39 ,5.64 , 9.11,,6.70 ,5.04 , 8.44,,6.21 ,4.76 , 7.91,,5.88 ,4.38 , 7.52,,5.71 ,4.23 , 7.36,,5.52 ,4.07 , 7.21,,4.38 ,3.07 , 5.97,,3.95 ,2.71 , 5.46,,3.83 ,2.54 , 5.29,,3.35 ,2.13 , 4.69,,2.71 ,1.75 , 3.90,,2.40 ,1.47 , 3.64,,2.51 ,1.49 , 3.82,,2.07 ,1.24 , 3.24,
Bhutan,32.82 ,10.31 , 58.40,,29.69 ,11.48 , 54.34,,25.43 ,12.39 , 42.39,,22.40 ,13.23 , 32.45,,19.20 ,13.84 , 26.04,,16.67 ,12.99 , 23.10,,14.10 ,10.96 , 19.52,,11.82 ,8.98 , 15.91,,10.48 ,8.08 , 14.30,,9.26 ,7.34 , 12.45,,8.58 ,7.01 , 11.19,,7.78 ,6.54 , 10.27,,7.53 ,6.30 , 10.11,,7.30 ,6.07 , 9.67,,7.08 ,5.85 , 8.82,,6.45 ,5.43 , 8.40,,6.42 ,5.30 , 8.04,,6.30 ,5.00 , 7.90,,5.88 ,4.60 , 7.35,,5.75 ,4.51 , 7.29,,5.82 ,4.41 , 7.41,,5.77 ,4.22 , 7.33,,5.55 ,3.94 , 7.07,
Bolivia (Plurinational State of),13.49 ,10.41 , 20.52,,12.50 ,10.05 , 16.86,,12.34 ,9.87 , 15.82,,12.01 ,9.86 , 14.97,,11.76 ,9.62 , 14.60,,11.78 ,9.66 , 14.33,,11.27 ,9.27 , 13.93,,11.04 ,9.16 , 13.59,,10.85 ,8.98 , 13.58,,10.33 ,8.60 , 13.04,,9.92 ,8.27 , 12.62,,10.05 ,8.36 , 12.66,,9.64 ,8.04 , 12.12,,9.35 ,7.77 , 11.99,,9.22 ,7.60 , 11.81,,8.85 ,7.29 , 11.50,,8.44 ,6.89 , 10.82,,8.01 ,6.43 , 10.33,,7.81 ,6.28 , 9.98,,7.19 ,5.70 , 9.24,,7.00 ,5.42 , 9.09,,6.86 ,5.25 , 8.95,,6.63 ,5.03 , 8.68,
Bosnia and Herzegovina,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
