Country,2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote
Botswana,9.50 ,9.07 , 9.92,,8.64 ,8.33 , 9.02,,7.93 ,7.59 , 8.23,,7.25 ,6.92 , 7.56,,6.56 ,6.23 , 6.90,,5.71 ,5.41 , 6.06,,5.16 ,4.87 , 5.49,,4.87 ,4.59 , 5.20,,4.55 ,4.25 , 4.89,,4.19 ,3.91 , 4.51,,4.09 ,3.85 , 4.37,,4.08 ,3.85 , 4.35,,3.61 ,3.37 , 3.84,,3.32 ,3.05 , 3.56,,3.26 ,2.99 , 3.51,,3.06 ,2.80 , 3.27,,2.75 ,2.49 , 2.98,,2.42 ,2.13 , 2.69,,2.04 ,1.73 , 2.33,,1.68 ,1.41 , 1.94,,1.53 ,1.28 , 1.80,,1.39 ,1.15 , 1.69,,1.26 ,0.99 , 1.57,
Brazil,12.40 ,11.66 , 13.12,,11.68 ,10.97 , 12.36,,11.04 ,10.38 , 11.71,,10.47 ,9.84 , 11.08,,9.93 ,9.29 , 10.52,,9.47 ,8.85 , 10.02,,9.01 ,8.45 , 9.52,,8.59 ,8.02 , 9.11,,8.21 ,7.65 , 8.70,,7.86 ,7.34 , 8.35,,7.57 ,7.08 , 8.04,,7.31 ,6.84 , 7.75,,6.96 ,6.52 , 7.38,,6.69 ,6.26 , 7.11,,6.45 ,6.04 , 6.86,,6.21 ,5.82 , 6.58,,6.00 ,5.61 , 6.35,,5.78 ,5.40 , 6.13,,5.58 ,5.22 , 5.92,,5.39 ,5.04 , 5.74,,5.28 ,4.95 , 5.60,,5.25 ,4.91 , 5.57,,5.11 ,4.78 , 5.42,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,...,,,"Estimates were not available at the time of publication.",...,,,"Estimates were not available at the time of publication.",...,,,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Bulgaria,11.21 ,9.14 , 12.67,"Children estimates were not available at the time of publication.",10.92 ,8.87 , 12.24,"Children estimates were not available at the time of publication.",10.68 ,8.64 , 12.02,"Children estimates were not available at the time of publication.",10.33 ,8.24 , 11.61,"Children estimates were not available at the time of publication.",10.06 ,7.98 , 11.29,"Children estimates were not available at the time of publication.",10.00 ,7.88 , 11.19,"Children estimates were not available at the time of publication.",9.93 ,7.76 , 11.13,"Children estimates were not available at the time of publication.",9.95 ,7.81 , 11.28,"Children estimates were not available at the time of publication.",9.93 ,7.77 , 11.21,"Children estimates were not available at the time of publication.",9.79 ,7.67 , 11.11,"Children estimates were not available at the time of publication.",9.55 ,7.44 , 10.91,"Children estimates were not available at the time of publication.",9.36 ,7.31 , 10.75,"Children estimates were not available at the time of publication.",9.17 ,7.17 , 10.49,"Children estimates were not available at the time of publication.",8.94 ,7.00 , 10.31,"Children estimates were not available at the time of publication.",8.78 ,6.86 , 10.25,"Children estimates were not available at the time of publication.",8.62 ,6.72 , 10.10,"Children estimates were not available at the time of publication.",8.37 ,6.53 , 10.00,"Children estimates were not available at the time of publication.",8.05 ,6.23 , 9.73,"Children estimates were not available at the time of publication.",7.49 ,5.72 , 9.15,"Children estimates were not available at the time of publication.",7.03 ,5.32 , 8.71,"Children estimates were not available at the time of publication.",6.63 ,4.94 , 8.33,"Children estimates were not available at the time of publication.",6.45 ,4.74 , 8.22,"Children estimates were not available at the time of publication.",6.19 ,4.47 , 8.03,"Children estimates were not available at the time of publication."
Burkina Faso,8.27 ,7.15 , 9.91,,7.89 ,6.64 , 9.39,,7.77 ,6.57 , 9.24,,7.44 ,6.19 , 8.91,,7.33 ,6.04 , 8.93,,7.24 ,5.87 , 8.85,,6.83 ,5.40 , 8.40,,6.23 ,5.02 , 7.79,,6.00 ,4.86 , 7.40,,5.61 ,4.37 , 7.10,,5.09 ,3.93 , 6.51,,4.74 ,3.65 , 6.18,,4.42 ,3.42 , 5.93,,4.19 ,3.22 , 5.71,,3.71 ,2.72 , 5.24,,3.77 ,2.91 , 5.07,,3.46 ,2.63 , 4.88,,2.93 ,2.13 , 4.17,,2.71 ,1.93 , 3.90,,2.42 ,1.72 , 3.61,,2.17 ,1.50 , 3.32,,2.10 ,1.42 , 3.23,,1.91 ,1.26 , 2.93,
Burundi,6.88 ,5.77 , 8.26,,6.47 ,5.32 , 7.67,,6.22 ,5.08 , 7.57,,6.20 ,4.97 , 7.37,,5.77 ,4.66 , 6.98,,5.49 ,4.42 , 6.80,,5.67 ,4.45 , 6.99,,5.63 ,4.36 , 6.96,,5.30 ,4.21 , 6.59,,4.99 ,3.92 , 6.30,,4.58 ,3.62 , 5.82,,4.45 ,3.47 , 5.81,,4.20 ,3.24 , 5.55,,3.96 ,2.99 , 5.27,,3.67 ,2.72 , 4.93,,3.50 ,2.58 , 4.75,,2.82 ,1.97 , 3.89,,2.57 ,1.80 , 3.57,,2.40 ,1.70 , 3.34,,2.32 ,1.66 , 3.29,,1.53 ,0.98 , 2.49,,1.53 ,0.96 , 2.57,,1.66 ,0.99 , 2.76,
Cabo Verde,12.22 ,10.43 , 15.79,,11.02 ,9.58 , 13.92,,11.02 ,9.50 , 13.50,,10.80 ,9.43 , 13.48,,11.04 ,9.55 , 13.51,,10.01 ,8.70 , 11.91,,8.33 ,7.31 , 9.75,,7.77 ,6.68 , 9.00,,7.44 ,6.39 , 8.69,,7.48 ,6.28 , 8.68,,7.64 ,6.31 , 8.89,,7.49 ,6.16 , 8.81,,7.36 ,5.97 , 8.83,,7.03 ,5.66 , 8.68,,6.90 ,5.50 , 8.58,,6.80 ,5.36 , 8.56,,7.66 ,5.98 , 9.87,,7.20 ,5.40 , 9.42,,6.54 ,4.74 , 8.80,,5.93 ,4.25 , 8.15,,5.63 ,4.06 , 7.89,,5.06 ,3.62 , 7.34,,4.67 ,3.26 , 6.93,
Cambodia,10.22 ,8.88 , 11.25,,8.00 ,7.00 , 8.81,,7.04 ,6.13 , 7.69,,6.38 ,5.55 , 7.01,,5.73 ,5.01 , 6.28,,5.08 ,4.40 , 5.59,,4.41 ,3.85 , 4.83,,3.77 ,3.29 , 4.14,,3.27 ,2.88 , 3.60,,2.83 ,2.48 , 3.08,,2.46 ,2.17 , 2.69,,2.21 ,1.97 , 2.41,,2.10 ,1.90 , 2.29,,2.01 ,1.80 , 2.18,,1.93 ,1.74 , 2.10,,1.90 ,1.71 , 2.07,,1.89 ,1.71 , 2.06,,1.78 ,1.63 , 1.93,,1.74 ,1.58 , 1.89,,1.71 ,1.56 , 1.86,,1.71 ,1.57 , 1.86,,1.78 ,1.63 , 1.93,,1.79 ,1.64 , 1.94,
Cameroon,14.96 ,13.24 , 17.17,,13.21 ,11.77 , 15.00,,11.78 ,10.55 , 13.17,,10.57 ,9.61 , 12.01,,9.68 ,8.72 , 11.02,,9.02 ,8.17 , 10.37,,8.46 ,7.62 , 9.69,,8.06 ,7.24 , 9.19,,7.48 ,6.67 , 8.61,,7.13 ,6.36 , 8.15,,6.38 ,5.64 , 7.31,,6.07 ,5.39 , 6.98,,5.50 ,4.72 , 6.44,,5.05 ,4.25 , 5.85,,4.92 ,4.10 , 5.84,,4.47 ,3.65 , 5.34,,4.35 ,3.61 , 5.19,,3.94 ,3.22 , 4.77,,3.58 ,2.91 , 4.39,,3.32 ,2.68 , 4.08,,2.88 ,2.28 , 3.62,,2.52 ,1.92 , 3.29,,2.06 ,1.52 , 2.78,
Canada,6.73 ,5.22 , 7.89,,6.50 ,5.02 , 7.69,,6.26 ,4.82 , 7.35,,6.01 ,4.62 , 7.10,,5.79 ,4.44 , 6.85,,5.60 ,4.28 , 6.66,,5.43 ,4.13 , 6.44,,5.27 ,4.00 , 6.26,,5.11 ,3.88 , 6.11,,4.79 ,3.62 , 5.75,,4.32 ,3.25 , 5.20,,3.88 ,2.91 , 4.68,,3.65 ,2.73 , 4.41,,3.42 ,2.54 , 4.15,,3.40 ,2.52 , 4.11,,3.36 ,2.48 , 4.07,,3.32 ,2.44 , 4.03,,3.29 ,2.42 , 4.00,,3.26 ,2.40 , 3.96,,2.97 ,2.20 , 3.59,,2.43 ,1.83 , 2.89,,... ,... , ...,,... ,... , ...,
Central African Republic,9.75 ,8.25 , 11.74,,9.43 ,8.06 , 11.25,,8.85 ,7.64 , 10.52,,8.57 ,7.32 , 10.12,,8.65 ,7.38 , 10.35,,8.26 ,7.00 , 9.94,,8.21 ,6.78 , 10.00,,8.21 ,6.73 , 10.13,,7.86 ,6.42 , 9.96,,7.51 ,5.91 , 9.66,,7.75 ,6.05 , 10.02,,7.79 ,5.89 , 10.28,,7.93 ,6.00 , 10.68,,8.48 ,6.34 , 11.85,,8.20 ,6.00 , 12.07,,8.13 ,5.39 , 12.43,,7.63 ,4.90 , 12.57,,7.70 ,4.82 , 13.28,,8.02 ,4.65 , 14.53,,7.68 ,4.17 , 15.07,,7.63 ,3.80 , 15.60,,8.18 ,3.99 , 17.28,,7.62 ,3.39 , 16.93,
Chad,10.81 ,8.53 , 14.37,,10.73 ,8.55 , 14.19,,10.11 ,8.17 , 13.11,,9.83 ,7.88 , 12.53,,9.24 ,7.43 , 11.87,,9.00 ,7.42 , 11.50,,8.79 ,7.30 , 11.27,,8.71 ,7.25 , 11.14,,8.05 ,6.50 , 10.23,,7.12 ,5.74 , 9.31,,6.97 ,5.65 , 9.03,,6.86 ,5.54 , 8.84,,6.38 ,5.04 , 8.35,,5.75 ,4.48 , 7.64,,5.42 ,4.10 , 7.38,,5.79 ,4.44 , 7.72,,5.46 ,4.09 , 7.36,,5.08 ,3.69 , 7.05,,4.59 ,3.12 , 6.65,,4.21 ,2.68 , 6.55,,3.92 ,2.47 , 6.48,,3.51 ,2.06 , 6.12,,3.32 ,1.82 , 6.06,
Chile,13.53 ,11.26 , 15.65,,11.16 ,9.37 , 12.91,,9.12 ,7.65 , 10.85,,7.55 ,6.21 , 9.13,,6.60 ,5.28 , 8.03,,6.34 ,5.00 , 7.70,,6.56 ,5.17 , 7.68,,7.21 ,5.82 , 8.26,,7.97 ,6.61 , 9.19,,8.61 ,7.26 , 10.14,,9.03 ,7.59 , 10.65,,9.23 ,7.71 , 10.90,,9.21 ,7.71 , 10.95,,8.96 ,7.55 , 10.65,,8.65 ,7.23 , 10.27,,8.31 ,6.91 , 9.70,,7.90 ,6.53 , 9.25,,7.52 ,6.14 , 8.83,,7.10 ,5.72 , 8.40,,6.72 ,5.44 , 7.96,,6.42 ,5.22 , 7.62,,6.07 ,4.90 , 7.27,,5.76 ,4.59 , 6.90,
China,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Colombia,13.63 ,10.55 , 18.05,,11.90 ,9.41 , 15.24,,11.17 ,8.92 , 13.98,,10.45 ,8.36 , 12.98,,9.82 ,7.94 , 12.18,,9.50 ,7.67 , 11.71,,9.14 ,7.32 , 11.40,,8.82 ,6.90 , 11.20,,9.05 ,7.03 , 11.69,,9.01 ,6.95 , 11.77,,8.43 ,6.35 , 10.88,,7.63 ,5.63 , 10.23,,7.23 ,5.14 , 10.12,,6.76 ,4.71 , 9.61,,6.40 ,4.37 , 9.58,,6.26 ,4.32 , 9.55,,6.00 ,4.04 , 9.26,,6.20 ,4.00 , 9.78,,6.05 ,3.86 , 9.85,,5.73 ,3.71 , 9.41,,5.26 ,3.28 , 8.95,,5.12 ,3.16 , 8.82,,4.38 ,2.86 , 7.52,
Comoros,14.08 ,7.04 , 35.21,,14.67 ,6.67 , 34.67,,13.92 ,6.33 , 34.18,,13.25 ,6.02 , 31.33,,12.64 ,5.75 , 29.89,,11.11 ,4.44 , 28.89,,11.70 ,4.26 , 29.79,,11.34 ,4.12 , 28.87,,9.09 ,3.03 , 28.28,,10.00 ,3.00 , 27.00,,7.84 ,1.96 , 23.53,,7.62 ,1.90 , 22.86,,7.41 ,1.85 , 19.44,,6.31 ,1.80 , 18.02,,6.25 ,1.79 , 16.07,,5.26 ,1.75 , 14.04,,4.39 ,0.88 , 13.16,,4.35 ,0.87 , 13.04,,3.45 ,0.86 , 12.93,,2.59 ,0.75 , 11.21,,2.59 ,0.71 , 11.21,,2.56 ,0.71 , 10.26,,2.56 ,0.68 , 9.40,
Congo,8.90 ,7.67 , 10.13,,8.55 ,7.36 , 9.81,,9.28 ,8.00 , 10.59,,9.63 ,8.28 , 10.95,,9.20 ,7.87 , 10.63,,9.65 ,8.26 , 11.18,,8.68 ,7.38 , 10.09,,8.72 ,7.33 , 10.23,,8.65 ,7.18 , 10.27,,8.73 ,7.25 , 10.58,,8.72 ,7.16 , 10.65,,8.85 ,7.10 , 11.16,,9.27 ,7.30 , 11.98,,9.70 ,7.32 , 12.60,,9.62 ,7.02 , 12.88,,10.07 ,7.10 , 13.84,,10.45 ,7.13 , 14.70,,10.37 ,6.96 , 15.22,,10.55 ,6.91 , 16.26,,11.07 ,6.99 , 17.63,,10.16 ,6.02 , 16.79,,10.73 ,6.00 , 18.50,,10.95 ,5.69 , 19.36,
Costa Rica,14.10 ,12.39 , 15.41,,13.57 ,11.94 , 14.85,,13.04 ,11.38 , 14.31,,12.59 ,10.98 , 13.91,,12.16 ,10.53 , 13.48,,11.79 ,10.17 , 13.12,,11.37 ,9.74 , 12.64,,11.06 ,9.41 , 12.35,,10.78 ,9.17 , 12.10,,10.45 ,8.83 , 11.65,,10.12 ,8.49 , 11.33,,9.52 ,7.95 , 10.78,,8.83 ,7.46 , 10.16,,8.02 ,6.72 , 9.31,,7.31 ,6.11 , 8.54,,6.62 ,5.47 , 7.78,,6.07 ,4.97 , 7.24,,5.60 ,4.51 , 6.76,,5.21 ,4.15 , 6.31,,4.88 ,3.83 , 5.96,,4.61 ,3.58 , 5.65,,4.37 ,3.37 , 5.36,,4.22 ,3.25 , 5.21,
Croatia,12.29 ,9.87 , 14.34,,11.64 ,9.27 , 13.32,,10.92 ,8.62 , 12.62,,10.28 ,8.03 , 11.69,,9.74 ,7.53 , 11.04,,9.11 ,7.07 , 10.31,,8.61 ,6.49 , 9.73,,8.18 ,6.08 , 9.22,,7.57 ,5.60 , 8.65,,7.22 ,5.28 , 8.24,,6.74 ,4.90 , 7.88,,6.48 ,4.66 , 7.56,,6.10 ,4.43 , 7.28,,5.75 ,4.16 , 6.96,,5.51 ,3.99 , 6.67,,5.22 ,3.76 , 6.48,,4.96 ,3.62 , 6.24,,4.72 ,3.43 , 5.95,,4.51 ,3.26 , 5.76,,4.31 ,3.09 , 5.52,,4.13 ,3.01 , 5.31,,3.96 ,2.87 , 5.11,,3.84 ,2.79 , 4.96,
Cuba,26.83 ,21.94 , 31.46,,25.43 ,20.93 , 30.93,,23.38 ,19.24 , 28.62,,21.10 ,17.28 , 25.48,,18.94 ,15.71 , 22.43,,17.00 ,14.28 , 19.51,,15.30 ,12.72 , 17.44,,13.83 ,11.60 , 15.79,,12.58 ,10.57 , 14.36,,11.42 ,9.53 , 13.04,,10.46 ,8.71 , 11.95,,9.60 ,7.96 , 10.95,,8.85 ,7.29 , 10.09,,8.27 ,6.75 , 9.41,,7.72 ,6.27 , 8.82,,7.17 ,5.75 , 8.23,,6.73 ,5.32 , 7.71,,6.31 ,4.94 , 7.27,,5.93 ,4.58 , 6.89,,5.60 ,4.27 , 6.55,,5.29 ,3.99 , 6.22,,5.02 ,3.76 , 5.92,,4.76 ,3.54 , 5.66,
Cyprus,8.98 ,7.03 , 10.55,"Children estimates were not available at the time of publication.",9.81 ,7.92 , 10.94,"Children estimates were not available at the time of publication.",10.28 ,8.87 , 11.70,"Children estimates were not available at the time of publication.",10.82 ,9.51 , 11.80,"Children estimates were not available at the time of publication.",11.34 ,10.45 , 11.94,"Children estimates were not available at the time of publication.",11.62 ,11.08 , 12.16,"Children estimates were not available at the time of publication.",11.68 ,10.95 , 12.41,"Children estimates were not available at the time of publication.",11.62 ,10.75 , 12.50,"Children estimates were not available at the time of publication.",11.44 ,10.26 , 12.23,"Children estimates were not available at the time of publication.",11.05 ,9.80 , 11.94,"Children estimates were not available at the time of publication.",9.97 ,8.90 , 10.89,"Children estimates were not available at the time of publication.",9.13 ,8.05 , 9.93,"Children estimates were not available at the time of publication.",8.22 ,7.39 , 9.06,"Children estimates were not available at the time of publication.",7.38 ,6.63 , 8.13,"Children estimates were not available at the time of publication.",6.72 ,5.94 , 7.30,"Children estimates were not available at the time of publication.",6.17 ,5.25 , 6.91,"Children estimates were not available at the time of publication.",5.61 ,4.38 , 6.57,"Children estimates were not available at the time of publication.",5.02 ,3.51 , 6.19,"Children estimates were not available at the time of publication.",4.41 ,2.65 , 5.86,"Children estimates were not available at the time of publication.",3.80 ,1.79 , 5.51,"Children estimates were not available at the time of publication.",3.15 ,0.98 , 5.03,"Children estimates were not available at the time of publication.",2.57 ,0.15 , 4.56,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Czechia,16.75 ,13.57 , 20.10,"Children estimates were not available at the time of publication.",15.84 ,12.73 , 18.81,"Children estimates were not available at the time of publication.",14.94 ,11.69 , 17.83,"Children estimates were not available at the time of publication.",13.94 ,10.82 , 16.34,"Children estimates were not available at the time of publication.",13.11 ,10.29 , 15.21,"Children estimates were not available at the time of publication.",12.33 ,9.51 , 14.10,"Children estimates were not available at the time of publication.",11.46 ,8.81 , 13.11,"Children estimates were not available at the time of publication.",10.68 ,8.19 , 12.41,"Children estimates were not available at the time of publication.",9.93 ,7.68 , 11.61,"Children estimates were not available at the time of publication.",9.28 ,7.23 , 10.86,"Children estimates were not available at the time of publication.",8.75 ,6.90 , 10.35,"Children estimates were not available at the time of publication.",8.14 ,6.34 , 9.67,"Children estimates were not available at the time of publication.",7.66 ,5.99 , 9.13,"Children estimates were not available at the time of publication.",7.17 ,5.59 , 8.63,"Children estimates were not available at the time of publication.",6.77 ,5.28 , 8.18,"Children estimates were not available at the time of publication.",6.38 ,5.00 , 7.64,"Children estimates were not available at the time of publication.",6.01 ,4.67 , 7.21,"Children estimates were not available at the time of publication.",5.64 ,4.34 , 6.85,"Children estimates were not available at the time of publication.",5.34 ,4.14 , 6.55,"Children estimates were not available at the time of publication.",4.99 ,3.87 , 6.35,"Children estimates were not available at the time of publication.",4.71 ,3.63 , 6.09,"Children estimates were not available at the time of publication.",4.42 ,3.28 , 5.81,"Children estimates were not available at the time of publication.",4.18 ,3.05 , 5.69,"Children estimates were not available at the time of publication."
Côte d'Ivoire,8.36 ,7.28 , 10.21,,7.77 ,6.79 , 9.44,,7.40 ,6.45 , 8.82,,7.04 ,6.12 , 8.58,,7.06 ,6.05 , 8.63,,6.41 ,5.49 , 7.72,,6.37 ,5.45 , 7.74,,5.97 ,5.06 , 7.32,,5.48 ,4.47 , 6.81,,5.13 ,4.20 , 6.35,,4.99 ,4.13 , 6.30,,5.17 ,4.04 , 6.56,,4.48 ,3.46 , 5.71,,4.17 ,3.13 , 5.46,,3.81 ,2.84 , 5.08,,3.67 ,2.71 , 4.91,,3.75 ,2.74 , 4.99,,3.25 ,2.31 , 4.44,,2.91 ,1.98 , 4.11,,2.53 ,1.65 , 3.70,,2.40 ,1.53 , 3.59,,2.38 ,1.41 , 3.67,,2.20 ,1.30 , 3.42,
Democratic People's Republic of Korea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Democratic Republic of the Congo,9.52 ,7.85 , 11.32,,8.99 ,7.35 , 10.62,,8.70 ,7.20 , 10.34,,8.44 ,6.95 , 9.93,,8.28 ,6.67 , 9.81,,8.04 ,6.39 , 9.67,,7.90 ,6.46 , 9.53,,7.73 ,6.25 , 9.33,,7.54 ,5.99 , 9.16,,7.35 ,5.88 , 9.03,,7.16 ,5.65 , 8.84,,7.11 ,5.62 , 8.80,,6.90 ,5.50 , 8.61,,6.63 ,5.25 , 8.44,,6.50 ,5.16 , 8.52,,5.78 ,4.26 , 7.66,,5.48 ,3.95 , 7.51,,5.13 ,3.61 , 7.13,,4.97 ,3.36 , 6.93,,4.73 ,3.10 , 6.78,,4.39 ,2.79 , 6.63,,3.72 ,2.18 , 5.94,,3.24 ,1.93 , 5.45,
Denmark,6.08 ,4.81 , 7.21,,5.53 ,4.39 , 6.68,,5.11 ,4.11 , 6.19,,4.79 ,3.78 , 5.78,,4.54 ,3.58 , 5.45,,4.33 ,3.43 , 5.22,,4.21 ,3.33 , 5.03,,4.12 ,3.28 , 4.99,,4.06 ,3.19 , 4.99,,3.98 ,3.10 , 4.93,,3.86 ,3.01 , 4.88,,3.72 ,2.89 , 4.69,,3.55 ,2.72 , 4.45,,3.34 ,2.55 , 4.21,,3.13 ,2.40 , 3.93,,2.89 ,2.20 , 3.66,,2.65 ,1.99 , 3.34,,2.41 ,1.79 , 3.05,,2.16 ,1.58 , 2.71,,1.91 ,1.35 , 2.46,,1.66 ,1.14 , 2.20,,1.41 ,0.89 , 1.98,,1.16 ,0.61 , 1.83,
Djibouti,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Dominican Republic,10.88 ,9.08 , 13.59,,9.78 ,8.07 , 12.33,,8.99 ,7.42 , 11.45,,8.31 ,6.87 , 10.39,,7.85 ,6.54 , 9.75,,7.44 ,6.25 , 9.22,,7.06 ,5.82 , 8.69,,6.61 ,5.35 , 8.21,,6.25 ,4.98 , 7.71,,5.96 ,4.56 , 7.44,,6.03 ,4.48 , 7.64,,5.94 ,4.24 , 7.57,,5.40 ,3.68 , 6.99,,5.19 ,3.43 , 6.89,,4.95 ,3.12 , 6.72,,4.80 ,2.99 , 6.61,,5.04 ,3.11 , 6.91,,5.25 ,3.28 , 7.14,,5.54 ,3.43 , 7.59,,5.87 ,3.66 , 7.98,,5.98 ,3.75 , 8.11,,5.84 ,3.64 , 8.03,,5.18 ,3.19 , 7.27,
Ecuador,14.76 ,11.66 , 18.42,,12.77 ,10.19 , 15.88,,11.19 ,9.05 , 13.91,,10.31 ,8.34 , 12.70,,9.46 ,7.69 , 11.65,,8.66 ,7.15 , 10.75,,8.30 ,6.94 , 10.31,,8.05 ,6.82 , 10.02,,7.47 ,6.33 , 9.38,,7.10 ,6.02 , 8.88,,7.13 ,6.11 , 8.85,,6.91 ,5.94 , 8.57,,6.74 ,5.71 , 8.36,,6.79 ,5.69 , 8.35,,6.58 ,5.48 , 8.08,,6.35 ,5.23 , 7.82,,5.87 ,4.71 , 7.31,,5.48 ,4.24 , 6.93,,5.01 ,3.76 , 6.40,,4.76 ,3.47 , 6.16,,4.32 ,3.01 , 5.74,,4.11 ,2.83 , 5.66,,3.95 ,2.66 , 5.61,
